TimeStamp,NodeName,CPUsCapacity,CPUsUsage(N),MemoryCapacity(Ki),MemoryUsage(Ki)
1705103105.8931408,node01,1,533083776n,2030940Ki,766504Ki
1705103107.9758894,controlplane,1,999988781n,2030940Ki,1416972Ki
1705103107.9962523,node01,1,533083776n,2030940Ki,766504Ki
1705103110.041316,controlplane,1,999988781n,2030940Ki,1416972Ki
1705103110.0642955,node01,1,533083776n,2030940Ki,766504Ki
1705103112.1026716,controlplane,1,999988781n,2030940Ki,1416972Ki
1705103112.1287336,node01,1,533083776n,2030940Ki,766504Ki
1705103114.1575496,controlplane,1,999988781n,2030940Ki,1416972Ki
1705103114.1738021,node01,1,533083776n,2030940Ki,766504Ki
1705103116.2445366,controlplane,1,999995577n,2030940Ki,1415064Ki
1705103116.261219,node01,1,533243579n,2030940Ki,767004Ki
1705103118.297329,controlplane,1,999995577n,2030940Ki,1415064Ki
1705103118.329628,node01,1,533243579n,2030940Ki,767004Ki
1705103120.366083,controlplane,1,999995577n,2030940Ki,1415064Ki
1705103120.3840857,node01,1,533243579n,2030940Ki,767004Ki
1705103122.4348319,controlplane,1,999995577n,2030940Ki,1415064Ki
1705103122.4516087,node01,1,533243579n,2030940Ki,767004Ki
1705103124.4951108,controlplane,1,999995577n,2030940Ki,1415064Ki
1705103124.5163035,node01,1,533243579n,2030940Ki,767004Ki
1705103126.5541897,controlplane,1,999995577n,2030940Ki,1415064Ki
1705103126.5848997,node01,1,533243579n,2030940Ki,767004Ki
1705103128.6309812,controlplane,1,999995577n,2030940Ki,1415064Ki
1705103128.6509328,node01,1,533243579n,2030940Ki,767004Ki
1705103130.6865063,controlplane,1,999966503n,2030940Ki,1416536Ki
1705103130.6952913,node01,1,217919873n,2030940Ki,758964Ki
1705103132.7436318,controlplane,1,999966503n,2030940Ki,1416536Ki
1705103132.7708232,node01,1,217919873n,2030940Ki,758964Ki
1705103134.8074813,controlplane,1,999966503n,2030940Ki,1416536Ki
1705103134.827493,node01,1,217919873n,2030940Ki,758964Ki
1705103136.864079,controlplane,1,999966503n,2030940Ki,1416536Ki
1705103136.8865123,node01,1,217919873n,2030940Ki,758964Ki
1705103138.9248736,controlplane,1,999966503n,2030940Ki,1416536Ki
1705103138.9440856,node01,1,217919873n,2030940Ki,758964Ki
1705103140.9804509,controlplane,1,999966503n,2030940Ki,1416536Ki
1705103141.0101686,node01,1,217919873n,2030940Ki,758964Ki
1705103143.045366,controlplane,1,999966503n,2030940Ki,1416536Ki
1705103143.0626104,node01,1,217919873n,2030940Ki,758964Ki
1705103145.1141348,controlplane,1,1000007406n,2030940Ki,1416480Ki
1705103145.1470203,node01,1,32500137n,2030940Ki,758732Ki
1705103147.1784003,controlplane,1,1000007406n,2030940Ki,1416480Ki
1705103147.1985865,node01,1,32500137n,2030940Ki,758732Ki
1705103149.2620091,controlplane,1,1000007406n,2030940Ki,1416480Ki
1705103149.2836652,node01,1,32500137n,2030940Ki,758732Ki
1705103151.3245938,controlplane,1,1000007406n,2030940Ki,1416480Ki
1705103151.342114,node01,1,32500137n,2030940Ki,758732Ki
1705103153.3898654,controlplane,1,1000007406n,2030940Ki,1416480Ki
1705103153.421088,node01,1,32500137n,2030940Ki,758732Ki
1705103155.4668257,controlplane,1,1000007406n,2030940Ki,1416480Ki
1705103155.4826434,node01,1,32500137n,2030940Ki,758732Ki
1705103157.5176275,controlplane,1,1000007406n,2030940Ki,1416480Ki
1705103157.5379326,node01,1,32500137n,2030940Ki,758732Ki
1705103159.596407,controlplane,1,1000007406n,2030940Ki,1416480Ki
1705103159.629911,node01,1,32500137n,2030940Ki,758732Ki
1705103161.6551907,controlplane,1,999996618n,2030940Ki,1415872Ki
1705103161.67454,node01,1,32711809n,2030940Ki,757660Ki
1705103163.7211003,controlplane,1,999996618n,2030940Ki,1415872Ki
1705103163.7428613,node01,1,32711809n,2030940Ki,757660Ki
1705103165.7687142,controlplane,1,999996618n,2030940Ki,1415872Ki
1705103165.7986538,node01,1,32711809n,2030940Ki,757660Ki
1705103167.835966,controlplane,1,999996618n,2030940Ki,1415872Ki
1705103167.8700912,node01,1,32711809n,2030940Ki,757660Ki
1705103169.907972,controlplane,1,999996618n,2030940Ki,1415872Ki
1705103169.9390793,node01,1,32711809n,2030940Ki,757660Ki
1705103171.9771614,controlplane,1,999996618n,2030940Ki,1415872Ki
1705103171.9941068,node01,1,32711809n,2030940Ki,757660Ki
1705103174.027143,controlplane,1,999996618n,2030940Ki,1415872Ki
1705103174.0447,node01,1,32711809n,2030940Ki,757660Ki
1705103176.1585312,controlplane,1,1000036144n,2030940Ki,1407628Ki
1705103176.2156715,node01,1,31108047n,2030940Ki,758564Ki
1705103178.2788434,controlplane,1,1000036144n,2030940Ki,1407628Ki
1705103178.3202586,node01,1,31108047n,2030940Ki,758564Ki
1705103180.3668318,controlplane,1,1000036144n,2030940Ki,1407628Ki
1705103180.388452,node01,1,31108047n,2030940Ki,758564Ki
1705103182.4269776,controlplane,1,1000036144n,2030940Ki,1407628Ki
1705103182.4518027,node01,1,31108047n,2030940Ki,758564Ki
1705103184.5419476,controlplane,1,1000036144n,2030940Ki,1407628Ki
1705103184.5821257,node01,1,31108047n,2030940Ki,758564Ki
1705103186.6082613,controlplane,1,1000036144n,2030940Ki,1407628Ki
1705103186.639206,node01,1,31108047n,2030940Ki,758564Ki
1705103188.6750624,controlplane,1,1000036144n,2030940Ki,1407628Ki
1705103188.7055418,node01,1,31108047n,2030940Ki,758564Ki
1705103190.7600315,controlplane,1,999955490n,2030940Ki,1408920Ki
1705103190.7903032,node01,1,35091963n,2030940Ki,758180Ki
1705103192.8366659,controlplane,1,999955490n,2030940Ki,1408920Ki
1705103192.8861501,node01,1,35091963n,2030940Ki,758180Ki
1705103194.9827735,controlplane,1,999955490n,2030940Ki,1408920Ki
1705103194.997318,node01,1,35091963n,2030940Ki,758180Ki
1705103197.0468593,controlplane,1,999955490n,2030940Ki,1408920Ki
1705103197.0855484,node01,1,35091963n,2030940Ki,758180Ki
